,verse,terminacion
0,Rotorua del proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Rotorua países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
2,Rotorua los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
3,Rotorua partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
4,Rotorua de los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
5,Rotorua para marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
6,Rotorua a la presencia de la salud,"[<'sa':sV>, <'lud':cvc>]"
7,Rotorua contonce más el peligro,"[<'pe':cV>, <'li':cv>, <'gro':ccV>]"
8,Rotorua las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Rotorua de la biosfera de precios,"[<'pre':ccV>, <'cios':cvVs>]"
10,Rotorua de la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
11,Rotorua sa amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Rotorua es un siglo xx estos partes,"[<'par':cVc>, <'tes':cVs>]"
13,Rotorua ndia de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
14,Rotorua contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
15,Rotorua guardo estado a la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
16,Rotorua la actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
17,Rotorua aumenta de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
18,Rotorua en el que se definitica,"[<'de':cV>, <'fi':cv>, <'ni':cv>, <'ti':cv>, <'ca':cV>]"
19,Rotorua diración de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
20,Rotorua a la intersión del capacidad,"[<'ca':cV>, <'pa':cV>, <'ci':cv>, <'dad':cVc>]"
21,Rotorua n el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
22,Rotorua me considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
23,Rotorua los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
24,Rotorua se desalian el especie,"[<'es':Vs>, <'pe':cV>, <'cie':cvV>]"
25,Rotorua correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
26,Rotorua para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
27,Rotorua y los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
28,Rotorua la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
29,Rotorua de los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
30,Rotorua de calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
31,Rotorua la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
32,Rotorua en el carbón y al contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
33,Rotorua contribución en la esta alla,"[<'a':V>, <'lla':ccV>]"
34,Rotorua salia del calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
35,Rotorua que los neoliberales,"[<'ne':cV>, <'o':V>, <'li':cv>, <'be':cV>, <'ra':cV>, <'les':cVs>]"
36,Rotorua la aperación de la centra,"[<'cen':cVc>, <'tra':ccV>]"
37,Rotorua pertinente con la reda,"[<'re':cV>, <'da':cV>]"
38,Rotorua la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
39,Rotorua de la cantidad de tiempo,"[<'tiem':cvVc>, <'po':cV>]"
40,Rotorua los procesos de la inversión,"[<'in':vc>, <'ver':cVc>, <'sión':svVc>]"
41,Rotorua energía no en los dectriales,"[<'dec':cVc>, <'tria':ccvV>, <'les':cVs>]"
42,Rotorua actividades políticos,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'cos':cVs>]"
43,Rotorua de la oriente climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
44,Rotorua la temperatura medio,"[<'me':cV>, <'dio':cvV>]"
45,Rotorua medio albiente con su fecha,"[<'fec':cVc>, <'ha':cV>]"
46,Rotorua los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
47,Rotorua por el paso de la guerra,"[<'gue':cvV>, <'rra':ccV>]"
48,Rotorua en la cauta de las segundas,"[<'se':sV>, <'gun':cvc>, <'das':cVs>]"
49,Rotorua la forma de casa informe,"[<'in':vc>, <'for':cVc>, <'me':cV>]"
50,Rotorua r para mayor aumento,"[<'au':Vv>, <'men':cVc>, <'to':cV>]"
51,Rotorua se podría energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
52,Rotorua y las oficinas para,"[<'pa':cV>, <'ra':cV>]"
53,Rotorua marcha de la mayoría,"[<'ma':cV>, <'yo':cV>, <'rí':cV>, <'a':V>]"
54,Rotorua la mayoría del control,"[<'con':cVc>, <'trol':ccVc>]"
55,Rotorua con bien en el correcionar,"[<'co':cV>, <'rre':ccV>, <'cio':cvV>, <'nar':cVc>]"
56,Rotorua los comparaciones de esta,"[<'es':Vs>, <'ta':cV>]"
57,Rotorua de las pautas de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
58,Rotorua la pertida de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
59,Rotorua decientes energéticos,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'cos':cVs>]"
60,Rotorua se puede ser concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
61,Rotorua ser concentración del caso,"[<'ca':cV>, <'so':sV>]"
62,Rotorua de la tierra en contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
63,Rotorua consumo con el estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
64,Rotorua concentración de los medios,"[<'me':cV>, <'dios':cvVs>]"
65,Rotorua la manor aliminación,"[<'a':V>, <'li':cv>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
66,Rotorua que se hace la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
67,Rotorua disponibles contribuyen,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'yen':cVc>]"
68,Rotorua en el carbón en los estrenos,"[<'es':Vs>, <'tre':ccV>, <'nos':cVs>]"
69,Rotorua que están en el medio ambiente,"[<'am':Vc>, <'bien':cvVc>, <'te':cV>]"
70,Rotorua lización de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
71,Rotorua proceso de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
72,Rotorua y contención de los partes,"[<'par':cVc>, <'tes':cVs>]"
73,Rotorua la actividad de las gases,"[<'ga':cV>, <'ses':sVs>]"
74,Rotorua sociedad de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
75,Rotorua en la lado de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
76,Rotorua ró el mismo de los asuntos,"[<'a':V>, <'sun':svc>, <'tos':cVs>]"
77,Rotorua la previsión de los medios,"[<'me':cV>, <'dios':cvVs>]"
78,Rotorua establecida de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
79,Rotorua de carbono e internacional,"[<'in':vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nal':cVc>]"
80,Rotorua gas de los altimos o antes,"[<'an':Vc>, <'tes':cVs>]"
81,Rotorua de los alternos de especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
82,Rotorua en los países de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
83,Rotorua parte de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
84,Rotorua las emisiones del nivel,"[<'ni':cv>, <'vel':cVc>]"
85,Rotorua los efectos para el amor,"[<'a':V>, <'mor':cVc>]"
86,Rotorua para el amor de la función,"[<'fun':cvc>, <'ción':cvVc>]"
87,Rotorua cantidad de mantenida,"[<'man':cVc>, <'te':cV>, <'ni':cv>, <'da':cV>]"
88,Rotorua dida de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
89,Rotorua forma de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
90,Rotorua contentación de energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
91,Rotorua energía por el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
92,Rotorua de esta curstión de los años,"[<'a':V>, <'ños':cVs>]"
93,Rotorua mos de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
94,Rotorua del producto a los estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
95,Rotorua biológica la cual parte,"[<'par':cVc>, <'te':cV>]"
96,Rotorua estado de las cancidades,"[<'can':cVc>, <'ci':cv>, <'da':cV>, <'des':cVs>]"
97,Rotorua electricidad y el poner,"[<'po':cV>, <'ner':cVc>]"
98,Rotorua el poner en la comparación,"[<'com':cVc>, <'pa':cV>, <'ra':cV>, <'ción':cvVc>]"
99,Rotorua los medios de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
100,Rotorua concentración del proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
101,Rotorua del proyecto internacional,"[<'in':vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nal':cVc>]"
102,Rotorua en los retroposos de capaz,"[<'ca':cV>, <'paz':cVc>]"
103,Rotorua reducida del principal,"[<'prin':ccvc>, <'ci':cv>, <'pal':cVc>]"
104,Rotorua menida muy retropolé,"[<'re':cV>, <'tro':ccV>, <'po':cV>, <'lé':cV>]"
105,Rotorua ha encreto de los distintos,"[<'dis':cvs>, <'tin':cvc>, <'tos':cVs>]"
106,Rotorua de los civilizaciones,"[<'ci':cv>, <'vi':cv>, <'li':cv>, <'za':cV>, <'cio':cvV>, <'nes':cVs>]"
107,Rotorua de los periodos del pauso,"[<'pau':cVv>, <'so':sV>]"
108,Rotorua al medio ambiente en la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
109,Rotorua n medidas por la emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
110,Rotorua en el carbón y consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
111,Rotorua en un modelo en el consumo,"[<'con':cVc>, <'su':sv>, <'mo':cV>]"
112,Rotorua al banco de la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
113,Rotorua el mercado de las persigues,"[<'per':cVc>, <'si':sv>, <'gues':cvVs>]"
114,Rotorua agua tantos de los modelos,"[<'mo':cV>, <'de':cV>, <'los':cVs>]"
115,Rotorua de los países previstos,"[<'pre':ccV>, <'vis':cvs>, <'tos':cVs>]"
116,Rotorua los procesos que permitan,"[<'per':cVc>, <'mi':cv>, <'tan':cVc>]"
117,Rotorua países temperaturas,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ras':cVs>]"
118,Rotorua desarrollo y la inversión,"[<'in':vc>, <'ver':cVc>, <'sión':svVc>]"
119,Rotorua contribución del mar soda,"[<'so':sV>, <'da':cV>]"
120,Rotorua en el consumo en la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
121,Rotorua el distinto de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
122,Rotorua medio ambiente con la parte,"[<'par':cVc>, <'te':cV>]"
123,Rotorua de los solor por el carbón,"[<'car':cVc>, <'bón':cVc>]"
124,Rotorua disminución con el sector,"[<'sec':sVc>, <'tor':cVc>]"
125,Rotorua internacional del convenio,"[<'con':cVc>, <'ve':cV>, <'nio':cvV>]"
126,Rotorua a la demanda del proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
127,Rotorua la fuerte de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
128,Rotorua la cual controlar el amor,"[<'a':V>, <'mor':cVc>]"
129,Rotorua las partes de los procesos,"[<'pro':ccV>, <'ce':cV>, <'sos':sVs>]"
130,Rotorua el convenio sobre el sistema,"[<'sis':svs>, <'te':cV>, <'ma':cV>]"
131,Rotorua lo que es algo de la mayor,"[<'ma':cV>, <'yor':cVc>]"
132,Rotorua carbón de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
133,Rotorua consecuencia energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
134,Rotorua países de los pationes,"[<'pa':cV>, <'tio':cvV>, <'nes':cVs>]"
135,Rotorua la estrategia de los pales,"[<'pa':cV>, <'les':cVs>]"
136,Rotorua la cantidad de las pasia,"[<'pa':cV>, <'sia':svV>]"
137,Rotorua la sociedad de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
138,Rotorua carbono de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
139,Rotorua de gei y el consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
140,Rotorua de la cumbre del clima este,"[<'es':Vs>, <'te':cV>]"
141,Rotorua de la cupación al madio,"[<'ma':cV>, <'dio':cvV>]"
142,Rotorua n cantidad de los partes,"[<'par':cVc>, <'tes':cVs>]"
143,Rotorua tando el problema del nivel,"[<'ni':cv>, <'vel':cVc>]"
144,Rotorua la concentración del país,"[<'pa':cV>, <'ís':Vs>]"
145,Rotorua es alguno de los sectores,"[<'sec':sVc>, <'to':cV>, <'res':cVs>]"
