,verse,terminacion
0,Hastings del proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Hastings aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
2,Hastings países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
3,Hastings los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
4,Hastings partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
5,Hastings de los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
6,Hastings para marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
7,Hastings contonce más el peligro,"[<'pe':cV>, <'li':cv>, <'gro':ccV>]"
8,Hastings las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Hastings de la biosfera de precios,"[<'pre':ccV>, <'cios':cvVs>]"
10,Hastings de la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
11,Hastings sa amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Hastings a el mismo para la salud,"[<'sa':sV>, <'lud':cvc>]"
13,Hastings un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
14,Hastings ndia de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
15,Hastings el consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
16,Hastings el calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
17,Hastings contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
18,Hastings guardo estado a la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
19,Hastings a la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
20,Hastings a la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
21,Hastings la actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
22,Hastings es de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
23,Hastings el aumento del madida,"[<'ma':cV>, <'di':cv>, <'da':cV>]"
24,Hastings diración de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
25,Hastings n el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
26,Hastings me considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
