,verse,terminacion
0,Soanierana Ivongo load model,"[<'mo':cV>, <'del':cVc>]"
1,Soanierana Ivongo ### Predict,"[<'Pre':ccV>, <'di':cv>, <'ct':cc>]"
2,Soanierana Ivongo en la infermedad,"[<'in':vc>, <'fer':cVc>, <'me':cV>, <'dad':cVc>]"
3,Soanierana Ivongo del proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
4,Soanierana Ivongo la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
5,Soanierana Ivongo los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
6,Soanierana Ivongo la alteración,"[<'al':Vc>, <'te':cV>, <'ra':cV>, <'ción':cvVc>]"
7,Soanierana Ivongo la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
8,Soanierana Ivongo de entre el parto,"[<'par':cVc>, <'to':cV>]"
9,Soanierana Ivongo es la respuesta,"[<'res':cVs>, <'pues':cvVs>, <'ta':cV>]"
10,Soanierana Ivongo los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
11,Soanierana Ivongo nuestro parte,"[<'par':cVc>, <'te':cV>]"
12,Soanierana Ivongo los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
13,Soanierana Ivongo los palabres,"[<'pa':cV>, <'la':cV>, <'bres':ccVs>]"
14,Soanierana Ivongo a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
15,Soanierana Ivongo la transición,"[<'tran':ccVc>, <'si':sv>, <'ción':cvVc>]"
16,Soanierana Ivongo de la alternción,"[<'al':Vc>, <'ter':cVc>, <'nción':ccvVc>]"
17,Soanierana Ivongo en el sistema,"[<'sis':svs>, <'te':cV>, <'ma':cV>]"
18,Soanierana Ivongo el sistema almo,"[<'al':Vc>, <'mo':cV>]"
19,Soanierana Ivongo el mismo para,"[<'pa':cV>, <'ra':cV>]"
20,Soanierana Ivongo un forzamiento,"[<'for':cVc>, <'za':cV>, <'mien':cvVc>, <'to':cV>]"
21,Soanierana Ivongo de la carta,"[<'car':cVc>, <'ta':cV>]"
22,Soanierana Ivongo carta de esta,"[<'es':Vs>, <'ta':cV>]"
23,Soanierana Ivongo la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
24,Soanierana Ivongo el escenario,"[<'es':Vs>, <'ce':cV>, <'na':cV>, <'rio':cvV>]"
25,Soanierana Ivongo la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
26,Soanierana Ivongo la contrarion,"[<'con':cVc>, <'tra':ccV>, <'rion':cvVc>]"
27,Soanierana Ivongo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
28,Soanierana Ivongo de la función,"[<'fun':cvc>, <'ción':cvVc>]"
29,Soanierana Ivongo en la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
30,Soanierana Ivongo contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
31,Soanierana Ivongo del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
32,Soanierana Ivongo se están de algo,"[<'al':Vc>, <'go':cV>]"
33,Soanierana Ivongo de la mayor,"[<'ma':cV>, <'yor':cVc>]"
34,Soanierana Ivongo su presente,"[<'pre':ccV>, <'sen':sVc>, <'te':cV>]"
