,verse,terminacion
0,Mackay ir aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
1,Mackay los países o la alteración,"[<'al':Vc>, <'te':cV>, <'ra':cV>, <'ción':cvVc>]"
2,Mackay si debería la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
3,Mackay los países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
4,Mackay nuestro parte de las especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
5,Mackay en los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
6,Mackay con partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
7,Mackay dicional de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
8,Mackay e las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Mackay la temperatura en los palas,"[<'pa':cV>, <'las':cVs>]"
10,Mackay composiciones de la alternción,"[<'al':Vc>, <'ter':cVc>, <'nción':ccvVc>]"
11,Mackay en un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
12,Mackay márido de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
13,Mackay la temperatura es un siglo,"[<'si':sv>, <'glo':ccV>]"
14,Mackay conterir la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
15,Mackay la contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Mackay la base de la mayor parte,"[<'par':cVc>, <'te':cV>]"
17,Mackay de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
18,Mackay su mara de la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
19,Mackay gustos de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
20,Mackay los países de los patrones,"[<'pa':cV>, <'tro':ccV>, <'nes':cVs>]"
21,Mackay de los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
22,Mackay el especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
23,Mackay también en la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
24,Mackay los correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
25,Mackay gue para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
26,Mackay consecuencia y los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
27,Mackay ricado de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
28,Mackay de la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
29,Mackay de la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
30,Mackay la esta alla y la diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
31,Mackay de la sonientia con el actual,"[<'ac':Vc>, <'tual':cvVc>]"
32,Mackay en la aperación de la centra,"[<'cen':cVc>, <'tra':ccV>]"
33,Mackay con la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
34,Mackay en los procesos de la inversión,"[<'in':vc>, <'ver':cVc>, <'sión':svVc>]"
35,Mackay estar general del progreso,"[<'pro':ccV>, <'gre':ccV>, <'so':sV>]"
36,Mackay la solidad de la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
37,Mackay ir el amor con los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
38,Mackay la energía no en los dectriales,"[<'dec':cVc>, <'tria':ccvV>, <'les':cVs>]"
39,Mackay la concentración del proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
40,Mackay umbre al calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
41,Mackay actividades políticos,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'cos':cVs>]"
42,Mackay políticos definitivas,"[<'de':cV>, <'fi':cv>, <'ni':cv>, <'ti':cv>, <'vas':cVs>]"
43,Mackay con el consumo de un recurso,"[<'re':cV>, <'cur':cvc>, <'so':sV>]"
44,Mackay la de la oriente climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
45,Mackay en la temperatura medio,"[<'me':cV>, <'dio':cvV>]"
46,Mackay de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
47,Mackay ente de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
48,Mackay ente a la seguridad entre,"[<'en':Vc>, <'tre':ccV>]"
49,Mackay de su procisa de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
50,Mackay la población de la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
51,Mackay tendrámente en la caleración,"[<'ca':cV>, <'le':cV>, <'ra':cV>, <'ción':cvVc>]"
52,Mackay que se pode para las partes,"[<'par':cVc>, <'tes':cVs>]"
53,Mackay en la cauta de las segundas,"[<'se':sV>, <'gun':cvc>, <'das':cVs>]"
54,Mackay de calidad y el sistema,"[<'sis':svs>, <'te':cV>, <'ma':cV>]"
55,Mackay la mayoría de la forma,"[<'for':cVc>, <'ma':cV>]"
56,Mackay de la forma de casa informe,"[<'in':vc>, <'for':cVc>, <'me':cV>]"
57,Mackay la emisión de las decisiones,"[<'de':cV>, <'ci':cv>, <'sio':svV>, <'nes':cVs>]"
58,Mackay aumento del clima en la tierra,"[<'tie':cvV>, <'rra':ccV>]"
59,Mackay de las palieras de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
60,Mackay energética en el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
61,Mackay centir a los interseñores,"[<'in':vc>, <'ter':cVc>, <'se':sV>, <'ño':cV>, <'res':cVs>]"
62,Mackay de la mayoría del control,"[<'con':cVc>, <'trol':ccVc>]"
63,Mackay medio ambiente la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
64,Mackay bien en el correcionar nuestra,"[<'nues':cvVs>, <'tra':ccV>]"
65,Mackay de los comparaciones de esta,"[<'es':Vs>, <'ta':cV>]"
66,Mackay continuación de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
67,Mackay la población de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
68,Mackay por consumidor para estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
69,Mackay de la pertida de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
70,Mackay las decientes energéticos,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'cos':cVs>]"
71,Mackay modelo actual con el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
72,Mackay esta el mundo con el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
73,Mackay en el estema de consumo,"[<'con':cVc>, <'su':sv>, <'mo':cV>]"
74,Mackay de consumo con el estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
75,Mackay la concentración de los medios,"[<'me':cV>, <'dios':cvVs>]"
76,Mackay funda se se contenta el marco,"[<'mar':cVc>, <'co':cV>]"
77,Mackay como un problema como el siglo,"[<'si':sv>, <'glo':ccV>]"
78,Mackay registrar como consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
79,Mackay como consecuencia del clima,"[<'cli':ccv>, <'ma':cV>]"
80,Mackay en la manor aliminación,"[<'a':V>, <'li':cv>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
81,Mackay o que se hace la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
82,Mackay contribuyen a los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
83,Mackay primer calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
84,Mackay las inversiones en el caso,"[<'ca':cV>, <'so':sV>]"
85,Mackay de los efectos finalistas,"[<'fi':cv>, <'na':cV>, <'lis':cvs>, <'tas':cVs>]"
86,Mackay contribución sobre el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
87,Mackay sobre el carbono y las partes,"[<'par':cVc>, <'tes':cVs>]"
88,Mackay de la previsión del acesto,"[<'a':V>, <'ces':cVs>, <'to':cV>]"
89,Mackay del acesto de la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
90,Mackay el proceso de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
91,Mackay los países de la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
92,Mackay de la actividad de las gases,"[<'ga':cV>, <'ses':sVs>]"
93,Mackay mente de la población están,"[<'es':Vs>, <'tán':cVc>]"
94,Mackay la sociedad de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
95,Mackay la población de la información,"[<'in':vc>, <'for':cVc>, <'ma':cV>, <'ción':cvVc>]"
96,Mackay previsión de los medios de este,"[<'es':Vs>, <'te':cV>]"
97,Mackay del gas de los altimos o antes,"[<'an':Vc>, <'tes':cVs>]"
98,Mackay por la buena contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
99,Mackay los países de la eficiencia,"[<'e':V>, <'fi':cv>, <'cien':cvVc>, <'cia':cvV>]"
100,Mackay la combustión de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
101,Mackay puedo estar la salud humana,"[<'hu':cv>, <'ma':cV>, <'na':cV>]"
102,Mackay te parte de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
103,Mackay de las emisiones del nivel,"[<'ni':cv>, <'vel':cVc>]"
