,verse,terminacion
0,Bundaberg proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Bundaberg en la recursosidad,"[<'re':cV>, <'cur':cvc>, <'so':sV>, <'si':sv>, <'dad':cVc>]"
2,Bundaberg de entre el parto del mismo,"[<'mis':cvs>, <'mo':cV>]"
3,Bundaberg ural de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
4,Bundaberg los países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
5,Bundaberg los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
6,Bundaberg la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
7,Bundaberg as en el sistema almo,"[<'al':Vc>, <'mo':cV>]"
8,Bundaberg nte de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
9,Bundaberg márido de la carta,"[<'car':cVc>, <'ta':cV>]"
10,Bundaberg es un siglo xx estos,"[<'es':Vs>, <'tos':cVs>]"
11,Bundaberg de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
12,Bundaberg consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
13,Bundaberg de la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
14,Bundaberg calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
15,Bundaberg las nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Bundaberg la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
17,Bundaberg la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
18,Bundaberg te de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
19,Bundaberg de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
20,Bundaberg ntuad para diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
21,Bundaberg es el mercado pero,"[<'pe':cV>, <'ro':cV>]"
22,Bundaberg de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
23,Bundaberg es de algunos países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
24,Bundaberg compensario a la intersión,"[<'in':vc>, <'ter':cVc>, <'sión':svVc>]"
25,Bundaberg carbona en la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
26,Bundaberg e la nueva alta al nivel,"[<'ni':cv>, <'vel':cVc>]"
27,Bundaberg en la inercia de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
28,Bundaberg re en la emisión de todos,"[<'to':cV>, <'dos':cVs>]"
29,Bundaberg el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
30,Bundaberg considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
31,Bundaberg lo que hay que se viere,"[<'vie':cvV>, <'re':cV>]"
32,Bundaberg el estado de cumbre,"[<'cum':cvc>, <'bre':ccV>]"
33,Bundaberg de cumbre de la ommera,"[<'om':Vc>, <'me':cV>, <'ra':cV>]"
34,Bundaberg en la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
35,Bundaberg de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
36,Bundaberg los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
37,Bundaberg los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
38,Bundaberg calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
39,Bundaberg e medidas permiten,"[<'per':cVc>, <'mi':cv>, <'ten':cVc>]"
40,Bundaberg permiten de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
41,Bundaberg de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
42,Bundaberg contribución en la esta,"[<'es':Vs>, <'ta':cV>]"
43,Bundaberg de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
44,Bundaberg los neoliberales,"[<'ne':cV>, <'o':V>, <'li':cv>, <'be':cV>, <'ra':cV>, <'les':cVs>]"
